t,f_x,f_y,c_d,c_l
9.400000000000000369e-03,5.387477617324939322e-04,-4.978012631013523093e-18,4.309982093859951457e-03,-3.982410104810818474e-17
2.505000000000000004e-01,-4.775241862073734828e-03,-3.361026734705063745e-18,-3.820193489658987862e-02,-2.688821387764050996e-17
5.062999999999999723e-01,-1.101125763300955102e-02,-1.962405932198763026e-17,-8.809006106407640813e-02,-1.569924745759010420e-16
7.553999999999999604e-01,-1.915552413131551765e-02,-2.016616040823038247e-17,-1.532441930505241412e-01,-1.613292832658430598e-16
1.006000000000000005e+00,-3.179734976385500955e-02,-7.047314121155778821e-17,-2.543787981108400764e-01,-5.637851296924623057e-16
1.250699999999999923e+00,-5.086335813721171162e-02,-3.794707603699265519e-17,-4.069068650976936929e-01,-3.035766082959412415e-16
1.504000000000000004e+00,-7.088442568505926022e-02,-2.970713952610282149e-17,-5.670754054804740818e-01,-2.376571162088225719e-16
1.750699999999999923e+00,-8.268345134058428803e-02,-7.806255641895631925e-17,-6.614676107246743042e-01,-6.245004513516505540e-16
2.004199999999999982e+00,-8.316805307347609200e-02,-1.006139616066548115e-16,-6.653444245878087360e-01,-8.049116928532384918e-16
2.251100000000000101e+00,-6.965676870788421737e-02,-1.769417945496343236e-16,-5.572541496630737390e-01,-1.415534356397074589e-15
2.505399999999999849e+00,-4.041112516177871455e-02,-2.172741153660950886e-16,-3.232890012942297164e-01,-1.738192922928760709e-15
2.753699999999999815e+00,2.612118286235101672e-03,1.279358563532895232e-16,2.089694628988081337e-02,1.023486850826316186e-15
3.002400000000000180e+00,5.825562073893276321e-02,4.505944228849756428e-16,4.660449659114621057e-01,3.604755383079805142e-15
3.251199999999999868e+00,1.237423769870767409e-01,1.075528555105620399e-16,9.899390158966139275e-01,8.604228440844963188e-16
3.500399999999999956e+00,1.958621553629529832e-01,-7.710845850716907535e-16,1.566897242903623866e+00,-6.168676680573526028e-15
3.756800000000000139e+00,2.736670439428595669e-01,-1.086370576830475443e-15,2.189336351542876535e+00,-8.690964614643803543e-15
4.006800000000000139e+00,3.501090971381809469e-01,3.378373969464831816e-16,2.800872777105447575e+00,2.702699175571865453e-15
4.250300000000000189e+00,4.228732841584125213e-01,2.331902032581822937e-15,3.382986273267300170e+00,1.865521626065458349e-14
4.501299999999999635e+00,4.943968735305000473e-01,1.926410420072244278e-15,3.955174988244000378e+00,1.541128336057795423e-14
4.752900000000000347e+00,5.614161030724063028e-01,-2.433817036795460353e-15,4.491328824579250423e+00,-1.947053629436368283e-14
5.004999999999999893e+00,6.233030491772273418e-01,-5.773159728050814010e-15,4.986424393417818735e+00,-4.618527782440651208e-14
5.250600000000000378e+00,6.783463404406699926e-01,-1.818423883692688037e-15,5.426770723525359941e+00,-1.454739106954150429e-14
5.503800000000000026e+00,7.297915117430856524e-01,7.699136467254064087e-15,5.838332093944685219e+00,6.159309173803251269e-14
5.750300000000000189e+00,7.750906849384791020e-01,1.050158224269459595e-14,6.200725479507832816e+00,8.401265794155676758e-14
6.004400000000000404e+00,8.172995157781626219e-01,-2.447911665037771911e-15,6.538396126225300975e+00,-1.958329332030217529e-14
6.251800000000000246e+00,8.545963095019120104e-01,-1.936493500276359470e-14,6.836770476015296083e+00,-1.549194800221087576e-13
6.506599999999999717e+00,8.896769824929647852e-01,-1.544839017993127062e-14,7.117415859943718281e+00,-1.235871214394501649e-13
6.754500000000000171e+00,9.211203619013753618e-01,1.606044941135365001e-14,7.368962895211002895e+00,1.284835952908292001e-13
7.002799999999999692e+00,9.504177028314291231e-01,4.032137037451866135e-14,7.603341622651432985e+00,3.225709629961492908e-13
7.251199999999999868e+00,9.779880384482138034e-01,1.430192769769078609e-14,7.823904307585710427e+00,1.144154215815262887e-13
7.506800000000000139e+00,1.004920133955757189e+00,-5.035533622022025924e-14,8.039361071646057511e+00,-4.028426897617620739e-13
7.755499999999999616e+00,1.030020942739701795e+00,-6.884033273979461853e-14,8.240167541917614358e+00,-5.507226619183569483e-13
8.004300000000000637e+00,1.054296705098461739e+00,1.037494742894828903e-14,8.434373640787693915e+00,8.299957943158631224e-14
8.253199999999999648e+00,1.077937807265581860e+00,1.151088772910480174e-13,8.623502458124654879e+00,9.208710183283841388e-13
8.502100000000000435e+00,1.101092397431448822e+00,9.554119648202963333e-14,8.808739179451590573e+00,7.643295718562370666e-13
8.751099999999999213e+00,1.123874594356359946e+00,-8.196481687816614681e-14,8.990996754850879569e+00,-6.557185350253291745e-13
9.000199999999999534e+00,1.146370339789114068e+00,-2.230273257741721693e-13,9.170962718312912543e+00,-1.784218606193377354e-12
9.256399999999999295e+00,1.169276168640597691e+00,-8.297442594118464854e-14,9.354209349124781525e+00,-6.637954075294771883e-13
9.505599999999999383e+00,1.191366535305780294e+00,2.575491903078486189e-13,9.530932282446242354e+00,2.060393522462788951e-12
9.754699999999999704e+00,1.213314330677312203e+00,3.730800390844279946e-13,9.706514645418497622e+00,2.984640312675423957e-12
1.000389999999999979e+01,1.235144030426029715e+00,-2.724903636064368584e-14,9.881152243408237723e+00,-2.179922908851494867e-13
1.025319999999999965e+01,1.256873020902345983e+00,-5.856764725975516228e-13,1.005498416721876787e+01,-4.685411780780412982e-12
1.050239999999999974e+01,1.278513598240698101e+00,-5.217744639129939799e-13,1.022810878592558481e+01,-4.174195711303951839e-12
1.075159999999999982e+01,1.300074624175887816e+00,3.760524877605142535e-13,1.040059699340710253e+01,3.008419902084114028e-12
1.100089999999999968e+01,1.321562685707116103e+00,1.142634598050307204e-12,1.057250148565692882e+01,9.141076784402457633e-12
