t,f_x,f_y,c_d,c_l
5.625070000000000192e+01,4.341746588769135329e+00,-8.447251325683496903e-03,3.473397271015308263e+01,-6.757801060546797522e-02
5.650509999999999877e+01,4.311765447779581706e+00,-3.882151041771682298e-02,3.449412358223665365e+01,-3.105720833417345839e-01
5.675249999999999773e+01,4.341681082988591456e+00,9.164446925926592047e-03,3.473344866390873165e+01,7.331557540741273638e-02
5.700030000000000285e+01,4.311276311230090030e+00,3.931769404167503867e-02,3.449021048984072024e+01,3.145415523334003094e-01
5.725419999999999732e+01,4.341592321972842505e+00,-9.363819081889407370e-03,3.473273857578274004e+01,-7.491055265511525896e-02
5.750200000000000244e+01,4.311686628153212020e+00,-3.895075862688732182e-02,3.449349302522569616e+01,-3.116060690150985746e-01
5.775589999999999691e+01,4.341483254101683897e+00,1.010411573554850784e-02,3.473186603281347118e+01,8.083292588438806270e-02
5.800370000000000203e+01,4.312102868775927966e+00,3.911506994342837940e-02,3.449682295020742373e+01,3.129205595474270352e-01
5.825099999999999767e+01,4.342432687950911863e+00,-8.522832064327579005e-03,3.473946150360729490e+01,-6.818265651462063204e-02
5.850529999999999831e+01,4.312526535602829725e+00,-3.874263436842710628e-02,3.450021228482263780e+01,-3.099410749474168503e-01
5.875269999999999726e+01,4.342319459250943758e+00,9.281361839910740041e-03,3.473855567400755007e+01,7.425089471928592033e-02
5.900050000000000239e+01,4.312032698062903791e+00,3.924793275060223241e-02,3.449626158450323032e+01,3.139834620048178593e-01
5.925439999999999685e+01,4.342192574353109791e+00,-9.511498464209428017e-03,3.473754059482487833e+01,-7.609198771367542413e-02
5.950209999999999866e+01,4.312445832671318868e+00,-3.888531361549533993e-02,3.449956666137055095e+01,-3.110825089239627195e-01
5.975600000000000023e+01,4.342052559817654256e+00,1.027559722530950459e-02,3.473642047854123405e+01,8.220477780247603672e-02
6.000379999999999825e+01,4.312865287428746974e+00,3.905205083301351021e-02,3.450292229942997579e+01,3.124164066641080817e-01
6.025110000000000099e+01,4.342989358958288193e+00,-8.715477454634912302e-03,3.474391487166630554e+01,-6.972381963707929842e-02
6.050540000000000163e+01,4.313292885320188397e+00,-3.868018047398694148e-02,3.450634308256150717e+01,-3.094414437918955318e-01
6.075280000000000058e+01,4.342856193725595837e+00,9.489296432507593471e-03,3.474284954980476670e+01,7.591437146006074776e-02
6.100059999999999860e+01,4.312791693550372507e+00,3.919298313746084894e-02,3.450233354840298006e+01,3.135438650996867915e-01
6.125439999999999685e+01,4.342712635682001832e+00,-9.729530275008627105e-03,3.474170108545601465e+01,-7.783624220006901684e-02
6.150220000000000198e+01,4.313207651587099178e+00,-3.883077740796836430e-02,3.450566121269679343e+01,-3.106462192637469144e-01
6.175610000000000355e+01,4.342558797183923680e+00,1.050087359998463921e-02,3.474047037747138944e+01,8.400698879987711365e-02
6.200379999999999825e+01,4.313631401719378644e+00,3.899567030333893347e-02,3.450905121375502915e+01,3.119653624267114678e-01
6.225119999999999720e+01,4.343497940501063859e+00,-8.951299729732908883e-03,3.474798352400851087e+01,-7.161039783786327106e-02
6.250549999999999784e+01,4.314063051612109234e+00,-3.862374729843243149e-02,3.451250441289687387e+01,-3.089899783874594519e-01
6.275280000000000058e+01,4.343354948348308042e+00,9.729208027617758381e-03,3.474683958678646434e+01,7.783366422094206705e-02
6.300059999999999860e+01,4.313552930662429397e+00,3.914248748643274489e-02,3.450842344529943517e+01,3.131398998914619591e-01
6.325450000000000017e+01,4.343202317991405437e+00,-9.972645605004090696e-03,3.474561854393124349e+01,-7.978116484003272557e-02
6.350220000000000198e+01,4.313972366520618884e+00,-3.877896971498356882e-02,3.451177893216495107e+01,-3.102317577198685505e-01
6.375610000000000355e+01,4.343040655297935260e+00,1.074610270284920288e-02,3.474432524238348208e+01,8.596882162279362305e-02
6.400379999999999825e+01,4.314400015376003594e+00,3.894116780576854786e-02,3.451520012300802875e+01,3.115293424461483829e-01
6.425119999999999720e+01,4.343987447132717783e+00,-9.202442346994688105e-03,3.475189957706174226e+01,-7.361953877595750484e-02
6.450549999999999784e+01,4.314835897679690113e+00,-3.856880476485173570e-02,3.451868718143752091e+01,-3.085504381188138856e-01
6.475289999999999679e+01,4.343837986757857372e+00,9.980747045607765711e-03,3.475070389406285898e+01,7.984597636486212568e-02
6.500060000000000571e+01,4.314315607371766781e+00,3.909333071827469919e-02,3.451452485897413425e+01,3.127466457461975935e-01
6.525449999999999307e+01,4.343679466370283571e+00,-1.022382445475658597e-02,3.474943573096226856e+01,-8.179059563805268773e-02
6.550220000000000198e+01,4.314739421884993043e+00,-3.872645891284856590e-02,3.451791537507994434e+01,-3.098116713027885272e-01
6.575620000000000687e+01,4.343512360908703407e+00,1.099932688996933805e-02,3.474809888726962726e+01,8.799461511975470440e-02
6.600390000000000157e+01,4.315171150179022419e+00,3.888758775445187721e-02,3.452136920143217935e+01,3.111007020356150177e-01
6.625119999999999720e+01,4.344468949693281346e+00,-9.458049676349500334e-03,3.475575159754625076e+01,-7.566439741079600267e-02
6.650549999999999784e+01,4.315610688899613301e+00,-3.851356161551436341e-02,3.452488551119690641e+01,-3.081084929241149073e-01
6.675289999999999679e+01,4.344314112881838774e+00,1.023600992132256415e-02,3.475451290305471019e+01,8.188807937058051323e-02
6.700060000000000571e+01,4.315080725832256547e+00,3.904340646223748712e-02,3.452064580665805238e+01,3.123472516978998970e-01
6.725449999999999307e+01,4.344150699003796134e+00,-1.047847428287329574e-02,3.475320559203036908e+01,-8.382779426298636594e-02
6.750220000000000198e+01,4.315508432756057999e+00,-3.867331739336528351e-02,3.452406746204846399e+01,-3.093865391469222681e-01
6.775620000000000687e+01,4.343979045349383838e+00,1.125489181264435756e-02,3.475183236279507071e+01,9.003913450115486050e-02
6.800390000000000157e+01,4.315944391491913557e+00,3.883365421801313055e-02,3.452755513193530845e+01,3.106692337441050444e-01
6.825130000000000052e+01,4.344945654760211440e+00,-9.715277734076696592e-03,3.475956523808169152e+01,-7.772222187261357274e-02
6.850549999999999784e+01,4.316386698937230371e+00,-3.845794256293579017e-02,3.453109359149784297e+01,-3.076635405034863213e-01
6.875289999999999679e+01,4.344786283027861629e+00,1.049158811661213275e-02,3.475829026422289303e+01,8.393270493289706202e-02
6.900060000000000571e+01,4.315847965993532043e+00,3.899153463350095439e-02,3.452678372794825634e+01,3.119322770680076351e-01
6.925459999999999638e+01,4.344618499289079949e+00,-1.073513858557623157e-02,3.475694799431263959e+01,-8.588110868460985259e-02
6.950230000000000530e+01,4.316279760417518929e+00,-3.862021986519161010e-02,3.453023808334015143e+01,-3.089617589215328808e-01
6.975620000000000687e+01,4.344443058165275318e+00,1.151014686270809828e-02,3.475554446532220254e+01,9.208117490166478625e-02
7.000390000000000157e+01,4.316719349173037124e+00,3.877876512570972711e-02,3.453375479338429699e+01,3.102301210056778169e-01
7.025130000000000052e+01,4.345419446525506935e+00,-9.972588732728715488e-03,3.476335557220405548e+01,-7.978070986182972391e-02
7.050549999999999784e+01,4.317165021170740857e+00,-3.840092669584249663e-02,3.453732016936592686e+01,-3.072074135667399730e-01
7.075289999999999679e+01,4.345255675131136641e+00,1.074784745971500699e-02,3.476204540104909313e+01,8.598277967772005592e-02
7.100060000000000571e+01,4.316617059130934742e+00,3.893862382162691094e-02,3.453293647304747793e+01,3.115089905730152875e-01
7.125459999999999638e+01,4.345083740957768725e+00,-1.099192893535191895e-02,3.476066992766214980e+01,-8.793543148281535160e-02
7.150230000000000530e+01,4.317053076831915526e+00,-3.856645195408464621e-02,3.453642461465532421e+01,-3.085316156326771697e-01
7.175620000000000687e+01,4.344904269386061557e+00,1.176519844805198889e-02,3.475923415508849246e+01,9.412158758441591111e-02
7.200390000000000157e+01,4.317495437897179933e+00,3.872325537960201458e-02,3.453996350317743946e+01,3.097860430368161166e-01
7.225130000000000052e+01,4.345890743459714933e+00,-1.022890667645742768e-02,3.476712594767771947e+01,-8.183125341165942146e-02
7.250549999999999784e+01,4.317945348625267243e+00,-3.834174195205092284e-02,3.454356278900213795e+01,-3.067339356164073827e-01
7.275289999999999679e+01,4.345722789966984578e+00,1.100509366314682269e-02,3.476578231973587663e+01,8.804074930517458153e-02
7.300060000000000571e+01,4.317388447707411814e+00,3.888560356526322981e-02,3.453910758165929451e+01,3.110848285221058385e-01
7.325459999999999638e+01,4.345547207321841299e+00,-1.124762008373371425e-02,3.476437765857473039e+01,-8.998096066986971397e-02
7.350230000000000530e+01,4.317828077077330740e+00,-3.851161287476549677e-02,3.454262461661864592e+01,-3.080929029981239742e-01
7.375620000000000687e+01,4.345363434497222954e+00,1.201960617051651969e-02,3.476290747597778363e+01,9.615684936413215755e-02
7.400390000000000157e+01,4.318273811166434939e+00,3.866625439321851043e-02,3.454619048933147951e+01,3.093300351457480835e-01
7.425130000000000052e+01,4.346359792193188021e+00,-1.048544648780345978e-02,3.477087833754550417e+01,-8.388357190242767825e-02
7.450549999999999784e+01,4.318727397580595095e+00,-3.828146654423185413e-02,3.454981918064476076e+01,-3.062517323538548331e-01
7.475300000000000011e+01,4.346187765704298656e+00,1.126207044586284567e-02,3.476950212563438924e+01,9.009656356690276535e-02
7.500000000000000000e+01,4.318148371838828936e+00,3.883781071214448266e-02,3.454518697471063149e+01,3.107024856971558613e-01
