t,u_probe,v_probe,p_probe,f_x,f_y,c_d,c_l
1.900199999999999889e+01,1.295750869587525000e-01,1.394708002734123750e-02,-5.536807212269176262e+02,1.989199892634916811e+00,6.593641015129048100e-10,1.591359914107933449e+01,5.274912812103238480e-09
1.925140000000000029e+01,1.295601485167094391e-01,1.394635256328629822e-02,-5.603854413864369235e+02,2.009678569491311961e+00,5.623393868614545710e-10,1.607742855593049569e+01,4.498715094891636568e-09
1.950080000000000169e+01,1.295463764340808177e-01,1.394567979869959680e-02,-5.670897314762885344e+02,2.030150482595909356e+00,-4.384271660995420206e-10,1.624120386076727485e+01,-3.507417328796336164e-09
1.975019999999999953e+01,1.295336789772990327e-01,1.394505878356189395e-02,-5.737936217254820122e+02,2.050616169831910085e+00,-1.261476194336363932e-09,1.640492935865528068e+01,-1.009180955469091145e-08
2.000669999999999860e+01,1.295216504361334786e-01,1.394447087007750011e-02,-5.806886649419855075e+02,2.071660615819482576e+00,-5.217624249320707008e-10,1.657328492655586061e+01,-4.174099399456565607e-09
2.025619999999999976e+01,1.295108785960675246e-01,1.394394493500047093e-02,-5.873918311589919767e+02,2.092115148831982907e+00,1.382093911539428177e-09,1.673692119065586326e+01,1.105675129231542542e-08
2.050560000000000116e+01,1.295009436279671300e-01,1.394345978516598090e-02,-5.940946802580912163e+02,2.112564832228486456e+00,2.113530184200129725e-09,1.690051865782789164e+01,1.690824147360103780e-08
2.075499999999999901e+01,1.294917802624581393e-01,1.394301197681464127e-02,-6.007972364141033950e+02,2.133010048137086390e+00,-1.466358978685633474e-11,1.706408038509669112e+01,-1.173087182948506779e-10
2.100440000000000040e+01,1.294833289512201391e-01,1.394259969950983544e-02,-6.074995222522261429e+02,2.153451147726340942e+00,-3.161928406603120578e-09,1.722760918181072753e+01,-2.529542725282496463e-08
2.125379999999999825e+01,1.294755339990262266e-01,1.394222187198319515e-02,-6.142015588576027767e+02,2.173888453796236853e+00,-3.035865728945319475e-09,1.739110763036989482e+01,-2.428692583156255580e-08
2.150319999999999965e+01,1.294683425256408227e-01,1.394187586686756325e-02,-6.209033657798050854e+02,2.194322263156113451e+00,1.773185813458422189e-09,1.755457810524890760e+01,1.418548650766737751e-08
2.175260000000000105e+01,1.294617056113974152e-01,1.394155679820612177e-02,-6.276049610840793775e+02,2.214752848808552610e+00,6.236072165599626516e-09,1.771802279046842088e+01,4.988857732479701212e-08
2.200199999999999889e+01,1.294555804871788673e-01,1.394126012904635219e-02,-6.343063614761811095e+02,2.235180461934010321e+00,3.390153369836612640e-09,1.788144369547208257e+01,2.712122695869290112e-08
2.225140000000000029e+01,1.294499302881020608e-01,1.394098521220674819e-02,-6.410075824461521279e+02,2.255605333714428173e+00,-6.008416139624550567e-09,1.804484266971542539e+01,-4.806732911699640454e-08
2.250080000000000169e+01,1.294447201515178114e-01,1.394073503290112204e-02,-6.477086383364908215e+02,2.276027676997983029e+00,-1.085968562297701112e-08,1.820822141598386423e+01,-8.687748498381608897e-08
2.275029999999999930e+01,1.294399134402445806e-01,1.394051039375597718e-02,-6.544095423075825693e+02,2.296447687802098514e+00,-1.554998015768083164e-09,1.837158150241678811e+01,-1.243998412614466531e-08
2.300679999999999836e+01,1.294353514486475676e-01,1.394029913660801458e-02,-6.613017547802435274e+02,2.317448884175638657e+00,1.502473811684779115e-08,1.853959107340510926e+01,1.201979049347823292e-07
2.325619999999999976e+01,1.294312568987373013e-01,1.394010297326289151e-02,-6.680023862460986948e+02,2.337864703184270088e+00,1.617415627125362576e-08,1.870291762547416070e+01,1.293932501700290061e-07
2.350560000000000116e+01,1.294274788900266482e-01,1.393991373360271846e-02,-6.747028991658146424e+02,2.358278694280927734e+00,-6.731448190522293373e-09,1.886622955424742187e+01,-5.385158552417834699e-08
2.375499999999999901e+01,1.294240017064888504e-01,1.393974196903320119e-02,-6.814033031239018783e+02,2.378690998556958203e+00,-3.059705965327563781e-08,1.902952798845566562e+01,-2.447764772262051025e-07
2.400440000000000040e+01,1.294208005225395697e-01,1.393959909303985403e-02,-6.881036069401197892e+02,2.399101746104709942e+00,-1.956927885016224167e-08,1.919281396883767954e+01,-1.565542308012979333e-07
2.425390000000000157e+01,1.294178393473842115e-01,1.393947831437609280e-02,-6.948038183712055798e+02,2.419511056908504099e+00,2.663677689529464487e-08,1.935608845526803279e+01,2.130942151623571590e-07
2.450329999999999941e+01,1.294150876783109472e-01,1.393935482126229877e-02,-7.015039442006743684e+02,2.439919041675535638e+00,5.490572491800849164e-08,1.951935233340428510e+01,4.392457993440679331e-07
2.475270000000000081e+01,1.294125399673387300e-01,1.393921300491237844e-02,-7.082039908403620529e+02,2.460325802505599402e+00,1.343993925179143289e-08,1.968260642004479521e+01,1.075195140143314632e-07
2.500209999999999866e+01,1.294102082018415423e-01,1.393907307224168633e-02,-7.149039648677908190e+02,2.480731433635087413e+00,-6.876381444809176458e-08,1.984585146908069930e+01,-5.501105155847341166e-07
2.525150000000000006e+01,1.294080868742960855e-01,1.393897726680299459e-02,-7.216038727464865588e+02,2.501136022038334072e+00,-8.652560209293502780e-08,2.000908817630667258e+01,-6.922048167434802224e-07
2.550090000000000146e+01,1.294061296423745511e-01,1.393893434803230615e-02,-7.283037197849102995e+02,2.521539647921716032e+00,1.870771911688384748e-08,2.017231718337372826e+01,1.496617529350707798e-07
2.575029999999999930e+01,1.294042773507538824e-01,1.393888915211266219e-02,-7.350035096512140171e+02,2.541942385395949966e+00,1.469444658730445497e-07,2.033553908316759973e+01,1.175555726984356397e-06
2.600690000000000168e+01,1.294024744203770005e-01,1.393877058564463832e-02,-7.418946657776782558e+02,2.562927203329447234e+00,1.099850159697046692e-07,2.050341762663557788e+01,8.798801277576373536e-07
2.625629999999999953e+01,1.294008851393752269e-01,1.393860240903020166e-02,-7.485943507729655266e+02,2.583328342996243698e+00,-1.154819811652330053e-07,2.066662674396994959e+01,-9.238558493218640422e-07
2.650570000000000093e+01,1.293995091594441482e-01,1.393849891603980012e-02,-7.552939924260906537e+02,2.603728785602458906e+00,-2.754849960789895746e-07,2.082983028481967125e+01,-2.203879968631916597e-06
2.675509999999999877e+01,1.293982876987277153e-01,1.393854403576702539e-02,-7.619935956658041505e+02,2.624128584697490219e+00,-9.450187405529719697e-08,2.099302867757992175e+01,-7.560149924423775758e-07
