t,u_probe,v_probe,p_probe,f_x,f_y,c_d,c_l
4.524000000000000243e-01,1.048083942668275981e+00,-5.323788969291016679e-03,7.779989733818112541e+00,1.525355383587434943e+00,3.042704976863319644e-15,1.220284306869947955e+01,2.434163981490655715e-14
4.576000000000000068e-01,9.450590859715547465e-01,-1.916474898255024484e-02,-5.265879348182093134e-01,1.609315958115920875e+00,-9.182650299865979804e-16,1.287452766492736700e+01,-7.346120239892783843e-15
5.029000000000000137e-01,1.051034651913914653e+00,-5.723454862251985305e-03,8.334207308029103700e+00,1.869284680282333078e+00,2.936019483090746007e-15,1.495427744225866462e+01,2.348815586472596806e-14
5.052999999999999714e-01,9.442692973467560202e-01,-1.971802720462909053e-02,-3.129487515129291131e-01,1.647476744841555929e+00,-8.983699201214889740e-16,1.317981395873244743e+01,-7.186959360971911792e-15
5.521000000000000352e-01,9.434347128277987826e-01,-2.029957910882122449e-02,-9.569943305707270809e-02,1.694447909184788159e+00,-9.279415343760311075e-16,1.355558327347830527e+01,-7.423532275008248860e-15
5.532000000000000250e-01,1.053791278382651075e+00,-6.177062253318025067e-03,8.866736660533479863e+00,2.303667580190999153e+00,2.766016582445018912e-15,1.842934064152799323e+01,2.212813265956015130e-14
6.032999999999999474e-01,1.056386259710588638e+00,-6.684247024052225421e-03,9.382004544574785498e+00,2.833191247363684440e+00,2.517083763642347094e-15,2.266552997890947552e+01,2.013667010913877675e-14
6.069999999999999840e-01,9.423761129987839880e-01,-2.103525911547460270e-02,1.699062112644828537e-01,1.762818535194533354e+00,-8.927219044291972994e-16,1.410254828155626683e+01,-7.141775235433578395e-15
6.514999999999999680e-01,9.414474868405744434e-01,-2.168054842940875249e-02,3.954655606144383828e-01,1.830119079743498967e+00,-8.934096951823677912e-16,1.464095263794799173e+01,-7.147277561458942330e-15
6.530000000000000249e-01,1.058844557558477284e+00,-7.240328948104337095e-03,9.883867578157406797e+00,3.457585668576289351e+00,2.373101715136272105e-15,2.766068534861031480e+01,1.898481372109017684e-14
7.020999999999999464e-01,1.061197175583203922e+00,-7.837947025389726402e-03,1.037583887620907142e+01,4.172175759852519761e+00,2.179680047564858114e-15,3.337740607882015809e+01,1.743744038051886491e-14
7.034000000000000252e-01,9.402765801407737545e-01,-2.249595908938788191e-02,6.714269840610975759e-01,1.923667424273663773e+00,-9.405453846311750965e-16,1.538933939418931018e+01,-7.524363077049400772e-15
7.507000000000000339e-01,1.063484737885712628e+00,-8.468121739599022979e-03,1.086119852258611473e+01,4.969034550528752980e+00,1.882174971434835697e-15,3.975227640423002384e+01,1.505739977147868558e-14
7.540000000000000036e-01,9.390377462370945727e-01,-2.336233835427915101e-02,9.534665971605860157e-01,2.031646920265260725e+00,-9.776250989301793481e-16,1.625317536212208580e+01,-7.821000791441434785e-15
8.036999999999999700e-01,9.377208719206506782e-01,-2.428898114053082771e-02,1.242065808774456936e+00,2.154602457046534969e+00,-9.374011983309671336e-16,1.723681965637227975e+01,-7.499209586647737069e-15
8.048999999999999488e-01,1.066049876046207601e+00,-9.205176161367423573e-03,1.140322260571262625e+01,5.951408757982470377e+00,1.533495552763497471e-15,4.761127006385976301e+01,1.226796442210797977e-14
8.527000000000000135e-01,9.363160492226014764e-01,-2.528558093694801417e-02,1.537890173480597644e+00,2.293136016916593078e+00,-9.985502008591495837e-16,1.834508813533274463e+01,-7.988401606873196670e-15
8.529999999999999805e-01,1.068398873831157392e+00,-9.875323398135958317e-03,1.188486950709486223e+01,6.888664543977397692e+00,1.412932271183109378e-15,5.510931635181918153e+01,1.130345816946487503e-14
9.012000000000000011e-01,1.070899498297521069e+00,-1.054893268878890310e-02,1.236965817423740077e+01,7.873703081515851743e+00,1.176142516712275210e-15,6.298962465212681394e+01,9.409140133698201680e-15
9.012999999999999901e-01,9.348122946610666339e-01,-2.636329866525187818e-02,1.841804144955852429e+00,2.447956120062857455e+00,-9.577841991736946170e-16,1.958364896050285964e+01,-7.662273593389556936e-15
9.558999999999999719e-01,1.074017702272347163e+00,-1.129612361606936732e-02,1.292297358559819465e+01,9.022895955245459731e+00,8.127179484951341237e-16,7.218316764196367785e+01,6.501743587961072990e-15
9.579999999999999627e-01,9.329156416607504720e-01,-2.774148034377467431e-02,2.208135891133697903e+00,2.650283209127310524e+00,-1.016981637791403159e-15,2.120226567301848419e+01,-8.135853102331225273e-15
1.004899999999999904e+00,1.077187962083500983e+00,-1.193828609645853495e-02,1.342587314140273946e+01,1.006525874877921289e+01,3.642919299551294898e-16,8.052206999023370315e+01,2.914335439641035919e-15
1.006799999999999917e+00,9.311600511386246559e-01,-2.903899896416704471e-02,2.533918231045836578e+00,2.843355494509960391e+00,-1.007657499108027821e-15,2.274684395607968312e+01,-8.061259992864222568e-15
1.054000000000000048e+00,1.080859579414827687e+00,-1.255397688790678076e-02,1.394327210955383833e+01,1.111143070601701055e+01,1.379105163401561640e-16,8.889144564813608440e+01,1.103284130721249312e-15
1.055900000000000061e+00,9.292751748996286310e-01,-3.045903294774847392e-02,2.872536132552288457e+00,3.055633162417348725e+00,-1.015030073880929251e-15,2.444506529933878980e+01,-8.120240591047434009e-15
1.102899999999999991e+00,1.085184305743771338e+00,-1.315883183945307927e-02,1.447943086755928732e+01,1.214584832582988305e+01,-1.700029006457270953e-16,9.716678660663906442e+01,-1.360023205165816762e-15
1.105399999999999938e+00,9.272610554911837610e-01,-3.201184125034090694e-02,3.226284683178330503e+00,3.288084463572515048e+00,-1.074444352933134894e-15,2.630467570858012039e+01,-8.595554823465079153e-15
1.151899999999999924e+00,1.090372416234930864e+00,-1.380559432472444094e-02,1.503914052221933062e+01,1.315369301965433380e+01,-7.095019016745141016e-16,1.052295441572346704e+02,-5.676015213396112813e-15
1.155299999999999994e+00,9.251231296671199589e-01,-3.370638006827964689e-02,3.597900573054606532e+00,3.541522584200738955e+00,-1.108054620280185532e-15,2.833218067360591164e+01,-8.864436962241484252e-15
1.201000000000000068e+00,1.096669127885298689e+00,-1.460135725838690793e-02,1.562787286338163639e+01,1.412174066983339848e+01,-7.927686285214008421e-16,1.129739253586671879e+02,-6.342149028171206737e-15
1.205500000000000016e+00,9.228682258032104846e-01,-3.555362546716407668e-02,3.990593020850009776e+00,3.816483166741051924e+00,-1.102416768983260908e-15,3.053186533392841540e+01,-8.819334151866087268e-15
1.250199999999999978e+00,1.104324209113515920e+00,-1.573720189056472193e-02,1.625174386861605313e+01,1.503883233982666923e+01,-6.938893903907228378e-16,1.203106587186133538e+02,-5.551115123125782702e-15
1.256199999999999983e+00,9.205104822344672977e-01,-3.756237214156321613e-02,4.408079355276270483e+00,4.113020570953627164e+00,-1.023053169957321984e-15,3.290416456762901731e+01,-8.184425359658575871e-15
1.305399999999999894e+00,1.114905848505698183e+00,-1.783186348822936307e-02,1.700401849264552112e+01,1.599798636006638297e+01,-9.974659986866640793e-16,1.279838908805310638e+02,-7.979727989493312634e-15
1.306999999999999940e+00,9.180810863943238420e-01,-3.973044616754690950e-02,4.854521441198231813e+00,4.430431980535394665e+00,-1.212138028838793957e-15,3.544345584428315732e+01,-9.697104230710351658e-15
1.354600000000000026e+00,1.126353898517053365e+00,-2.100475378060583098e-02,1.772554937017321564e+01,1.677716761445457294e+01,-1.056446596869875520e-15,1.342173409156365835e+02,-8.451572774959004164e-15
1.358000000000000096e+00,9.156101401384949545e-01,-4.205971478324639634e-02,5.334486308689250222e+00,4.767157842214574615e+00,-1.230352625336550432e-15,3.813726273771659692e+01,-9.842821002692403454e-15
1.400500000000000078e+00,9.135424563636912465e-01,-4.412584836185380610e-02,5.763586365812256140e+00,5.060868731012897470e+00,-1.227750540122585221e-15,4.048694984810317976e+01,-9.822004320980681769e-15
1.403699999999999948e+00,1.139931038873480684e+00,-2.623600715528979013e-02,1.850457597342825977e+01,1.748018741370461981e+01,-8.309325449928905982e-16,1.398414993096369585e+02,-6.647460359943124786e-15
1.451600000000000001e+00,9.110839638339300883e-01,-4.675523197811429221e-02,6.317931847459009376e+00,5.426596141437463494e+00,-1.163132090642449157e-15,4.341276913149970795e+01,-9.305056725139593254e-15
1.452900000000000080e+00,1.155714160895270348e+00,-3.461257904268308372e-02,1.934831444364895248e+01,1.810201858419119958e+01,-1.056446596869875520e-15,1.448161486735295966e+02,-8.451572774959004164e-15
1.502099999999999991e+00,1.173626925763861406e+00,-4.744665678501605588e-02,2.026313007552057499e+01,1.864022337402117913e+01,-1.115427195053086962e-15,1.491217869921694330e+02,-8.923417560424695694e-15
1.502799999999999914e+00,9.086916900901514937e-01,-4.954569640699921229e-02,6.920360732489181821e+00,5.803882371286531061e+00,-1.299307883506628514e-15,4.643105897029224849e+01,-1.039446306805302811e-14
1.551199999999999912e+00,1.193469520176599241e+00,-6.606598525531988397e-02,2.125359216675642671e+01,1.909563691662324558e+01,-4.683753385137379155e-16,1.527650953329859647e+02,-3.747002708109903324e-15
1.554100000000000037e+00,9.064168262818774746e-01,-5.249069357257226537e-02,7.576376864023746549e+00,6.189649495953592151e+00,-1.358288481689839955e-15,4.951719596762873721e+01,-1.086630785351871964e-14
1.600500000000000034e+00,1.215029350670115305e+00,-9.147162099678625424e-02,2.232095471563769351e+01,1.947243706246869621e+01,-6.748074321549779597e-16,1.557794964997495697e+02,-5.398459457239823678e-15
1.605399999999999938e+00,9.043208091147942884e-01,-5.557884206826850526e-02,8.291560473104830464e+00,6.581003363440473208e+00,-1.325328735646280620e-15,5.264802690752378567e+01,-1.060262988517024496e-14
1.655799999999999939e+00,1.241247228406304526e+00,-1.285276008125963154e-01,2.360779086472913946e+01,1.981101220938621665e+01,-7.199102425303749442e-16,1.584880976750897332e+02,-5.759281940242999553e-15
1.656900000000000039e+00,9.024785822532425117e-01,-5.879453548624259673e-02,9.071525496664438748e+00,6.975274000222582593e+00,-1.373900992973631219e-15,5.580219200178066075e+01,-1.099120794378904975e-14
1.705100000000000060e+00,1.266457143606852798e+00,-1.682616170014241963e-01,2.481225942032672904e+01,2.004557779112409577e+01,-6.071532165918824830e-17,1.603646223289927661e+02,-4.857225732735059864e-16
1.708599999999999897e+00,9.009825406151564797e-01,-6.212084114723412376e-02,9.921904124898654587e+00,7.369969709837930871e+00,-1.340941246930071884e-15,5.895975767870344697e+01,-1.072752997544057507e-14
1.751700000000000035e+00,9.000816809110576688e-01,-6.496832092782847679e-02,1.068842222427030819e+01,7.697486601884368618e+00,-1.443289932012703503e-15,6.157989281507494894e+01,-1.154631945610162802e-14
1.754299999999999971e+00,1.293453633787903900e+00,-2.127152339628808619e-01,2.604423707318860437e+01,2.022695640978145804e+01,-2.237793284010081152e-16,1.618156512782516643e+02,-1.790234627208064921e-15
1.803500000000000103e+00,8.995332471729658996e-01,-6.847783557585709890e-02,1.168262178578309296e+01,8.086812265638835484e+00,-1.482321210222181662e-15,6.469449812511068387e+01,-1.185856968177745330e-14
1.803600000000000092e+00,1.320714966319862516e+00,-2.596600258857355570e-01,2.725798939966551515e+01,2.036352043541517531e+01,1.073793831629643591e-15,1.629081634833214025e+02,8.590350653037148732e-15
1.852899999999999991e+00,1.344692444762484840e+00,-3.058376940682941969e-01,2.839195013409747759e+01,2.046259783049191228e+01,8.326672684688674053e-16,1.637007826439352982e+02,6.661338147750939243e-15
1.855399999999999938e+00,8.997153130862295400e-01,-7.211819624551096819e-02,1.276339931603573419e+01,8.469928359935446238e+00,-1.539567084929416296e-15,6.775942687948356991e+01,-1.231653667943533037e-14
1.902199999999999891e+00,1.363262995224288288e+00,-3.460858112460742375e-01,2.937755529451515457e+01,2.053032469437312457e+01,1.151856388048599911e-15,1.642425975549849966e+02,9.214851104388799286e-15
1.907499999999999973e+00,9.008019961179519752e-01,-7.597046666943541027e-02,1.393656347264840178e+01,8.844557225458300920e+00,-1.413799632921097782e-15,7.075645780366640736e+01,-1.131039706336878226e-14
1.951000000000000068e+00,9.025245362706949548e-01,-7.945301467074400437e-02,1.498896357099799381e+01,9.148666470646425353e+00,-1.533495552763497471e-15,7.318933176517140282e+01,-1.226796442210797977e-14
1.951500000000000012e+00,1.377994703072295657e+00,-3.763373947780001005e-01,3.015524134859705185e+01,2.057171698054178322e+01,9.829376895753583199e-16,1.645737358443342657e+02,7.863501516602866559e-15
2.000799999999999912e+00,1.390233780350255799e+00,-3.973668559834246383e-01,3.068798742056076634e+01,2.059084235619661740e+01,1.696451139288068788e-15,1.647267388495729392e+02,1.357160911430455030e-14
2.003299999999999859e+00,9.056987231078372780e-01,-8.417407590251183014e-02,1.634648196825732569e+01,9.502082044514512660e+00,-1.656660919557850775e-15,7.601665635611610128e+01,-1.325328735646280620e-14
2.050100000000000033e+00,1.399318369868236323e+00,-4.124161835119462549e-01,3.096331504102414556e+01,2.059101075776652578e+01,2.377872204695208325e-15,1.647280860621322063e+02,1.902297763756166660e-14
2.055699999999999861e+00,9.101516234247464254e-01,-8.982722705613360725e-02,1.781229066314113751e+01,9.841119741196289183e+00,-1.488392742388100487e-15,7.872895792957031347e+01,-1.190714193910480390e-14
2.105500000000000149e+00,1.404705073914234603e+00,-4.253379133739919049e-01,3.097397740001066779e+01,2.057191064535258462e+01,2.666269982576352504e-15,1.645752851628206770e+02,2.133015986061082003e-14
2.108200000000000074e+00,9.158330430274870260e-01,-9.688380467886470448e-02,1.939105989850020251e+01,1.016409508589935307e+01,-1.351349587785932727e-15,8.131276068719482453e+01,-1.081079670228746181e-14
2.152000000000000135e+00,9.213452597728345461e-01,-1.042291703122238955e-01,2.079555408876072420e+01,1.041996201385673082e+01,-1.460637166772471573e-15,8.335969611085384656e+01,-1.168509733417977259e-14
2.154799999999999827e+00,1.404881470121837062e+00,-4.349092335026664702e-01,3.073969901332795729e+01,2.054026299745046558e+01,2.647188024340607626e-15,1.643221039796037246e+02,2.117750419472486101e-14
2.204200000000000159e+00,1.400856435012402867e+00,-4.435706878528109520e-01,3.030519987978408736e+01,2.049675658383891630e+01,3.740063814205996096e-15,1.639740526707113304e+02,2.992051051364796876e-14
2.204699999999999882e+00,9.285447559642288073e-01,-1.152455135587101553e-01,2.258919394546841630e+01,1.071012911419808056e+01,-1.457167719820517959e-15,8.568103291358464446e+01,-1.165734175856414367e-14
2.253499999999999837e+00,1.392950399722164834e+00,-4.517230309372468611e-01,2.970283862349216975e+01,2.044296591290958176e+01,4.028027911218146073e-15,1.635437273032766541e+02,3.222422328974516859e-14
2.257499999999999840e+00,9.359210353649204395e-01,-1.289302372994998447e-01,2.450052998713886154e+01,1.098117076848956941e+01,-1.410330185969144168e-15,8.784936614791655529e+01,-1.128264148775315334e-14
2.301600000000000090e+00,9.419239320803349802e-01,-1.422500040043258307e-01,2.618098392928897766e+01,1.119209636564188948e+01,-1.491862189340054101e-15,8.953677092513511582e+01,-1.193489751472043281e-14
2.302799999999999958e+00,1.381569553924693050e+00,-4.594261214793398662e-01,2.896704794058091181e+01,2.038022897203154216e+01,3.774758283725532237e-15,1.630418317762523372e+02,3.019806626980425790e-14
2.352100000000000080e+00,1.367160870842552667e+00,-4.665433048890759715e-01,2.813389106715219157e+01,2.030968400922059658e+01,4.007211229506424388e-15,1.624774720737647726e+02,3.205768983605139510e-14
2.354600000000000026e+00,9.487938120894081617e-01,-1.598946606441487284e-01,2.829740098272175430e+01,1.142713219074171782e+01,-1.157060558476530332e-15,9.141705752593374257e+01,-9.256484467812242656e-15
2.401400000000000201e+00,1.350180947771750795e+00,-4.728738417128749427e-01,2.724176624256741164e+01,2.023229879562871858e+01,5.322131624296844166e-15,1.618583903650297486e+02,4.257705299437475333e-14
2.407799999999999940e+00,9.549302917324156148e-01,-1.784297716395001898e-01,3.051423367688884269e+01,1.164253848993437401e+01,-1.170938346284344789e-15,9.314030791947499210e+01,-9.367506770274758310e-15
2.450699999999999878e+00,1.331071090111827004e+00,-4.782322870567474182e-01,2.633238724726280822e+01,2.014889500489615415e+01,4.621303340002214100e-15,1.611911600391692332e+02,3.697042672001771280e-14
2.452100000000000168e+00,9.584819387159091431e-01,-1.940569737005417017e-01,3.243025787299102092e+01,1.180727216424684300e+01,-7.788908407135863854e-16,9.445817731397474404e+01,-6.231126725708691083e-15
2.500100000000000211e+00,1.310244558949374083e+00,-4.824836368024282285e-01,2.545103210798380644e+01,2.006016923739259994e+01,4.579669976578770729e-15,1.604813538991407995e+02,3.663735981263016583e-14
2.505399999999999849e+00,9.586952754998391280e-01,-2.126764503954166052e-01,3.480116602939432369e+01,1.198765779500997475e+01,-3.174543961037556983e-16,9.590126236007979799e+01,-2.539635168830045586e-15
2.555600000000000094e+00,1.285233623027415062e+00,-4.858535244796166053e-01,2.455259144261967563e+01,1.995472244695720931e+01,4.253541963095130995e-15,1.596377795756576745e+02,3.402833570476104796e-14
2.558699999999999974e+00,9.527364098871710096e-01,-2.303779652985898374e-01,3.723861280702398346e+01,1.214978927039388701e+01,2.081668171172168513e-17,9.719831416315109607e+01,1.665334536937734811e-16
2.603299999999999947e+00,9.435256334897781372e-01,-2.434736519319191939e-01,3.931281369717403607e+01,1.227150325496518057e+01,4.076600168545496672e-16,9.817202603972144459e+01,3.261280134836397337e-15
2.604900000000000215e+00,1.261972183602860786e+00,-4.875803949835650353e-01,2.389039429175829810e+01,1.985653498791372229e+01,3.483324739761428646e-15,1.588522799033097783e+02,2.786659791809142916e-14
2.654199999999999893e+00,1.238055112495325627e+00,-4.881536902675190914e-01,2.340550681849311587e+01,1.975458696063205366e+01,3.823330541052882836e-15,1.580366956850564293e+02,3.058664432842306269e-14
2.656899999999999817e+00,9.298502588767734167e-01,-2.565477528232110171e-01,4.184665719498799774e+01,1.240221682794612157e+01,5.811323644522303766e-16,9.921773462356897255e+01,4.649058915617843013e-15
2.701600000000000001e+00,9.181360055931711006e-01,-2.656991206673035566e-01,4.399254675734844966e+01,1.249896876550587699e+01,1.084202172485504434e-15,9.999175012404701590e+01,8.673617379884035472e-15
2.703500000000000014e+00,1.213745822426454790e+00,-4.876496382762349757e-01,2.314064532257246043e+01,1.964922914326289671e+01,3.400058012914541905e-15,1.571938331461031737e+02,2.720046410331633524e-14
2.752899999999999903e+00,1.189272425073736095e+00,-4.861676490758797264e-01,2.313143752441568779e+01,1.954075888889174450e+01,2.907396545737128690e-15,1.563260711111339560e+02,2.325917236589702952e-14
2.755300000000000082e+00,9.046893703402685283e-01,-2.760194466655696566e-01,4.660736815232448294e+01,1.260126298788940069e+01,1.415534356397074589e-15,1.008101039031152055e+02,1.132427485117659671e-14
2.800100000000000033e+00,8.937970252681637362e-01,-2.850953339696654099e-01,4.881909708837222439e+01,1.267563750016662993e+01,1.977584762613560088e-15,1.014051000013330395e+02,1.582067810090848070e-14
2.802200000000000024e+00,1.164828025091490860e+00,-4.838185568845480011e-01,2.340420298468226079e+01,1.942942996658330657e+01,3.899658373995862348e-15,1.554354397326664525e+02,3.119726699196689879e-14
2.851500000000000146e+00,1.140571104717965856e+00,-4.807153743043668381e-01,2.397470194944755661e+01,1.931546132672360372e+01,1.262878690511115565e-15,1.545236906137888298e+02,1.010302952408892452e-14
2.854000000000000092e+00,8.804181121897305395e-01,-2.970775675490133771e-01,5.151134557549117687e+01,1.275264438725465688e+01,2.381775332516156141e-15,1.020211550980372550e+02,1.905420266012924913e-14
2.900799999999999823e+00,1.116626245129774819e+00,-4.769667705724341955e-01,2.484754119920236093e+01,1.919904437132515440e+01,1.318389841742373392e-16,1.535923549706012352e+02,1.054711873393898713e-15
2.907999999999999918e+00,8.661703215137793732e-01,-3.099095655109017633e-01,5.424235872026102356e+01,1.281714380692283051e+01,2.846681224077940442e-15,1.025371504553826441e+02,2.277344979262352354e-14
2.950200000000000156e+00,1.093085599531818719e+00,-4.726729984100376258e-01,2.601613802338725634e+01,1.908034840622486783e+01,1.165734175856414367e-15,1.526427872497989426e+02,9.325873406851314940e-15
2.953100000000000058e+00,8.535452551294449020e-01,-3.206551348700250603e-01,5.654418570871824556e+01,1.286195710455300301e+01,3.160666173229742526e-15,1.028956568364240240e+02,2.528532938583794021e-14
3.005700000000000038e+00,1.067162202640248747e+00,-4.673022216128880357e-01,2.766241501749785670e+01,1.894427832142517687e+01,4.024558464266192459e-16,1.515542265714014150e+02,3.219646771412953967e-15
3.007200000000000095e+00,8.376579351604258594e-01,-3.329360507711560113e-01,5.933182836216857936e+01,1.290570854332819728e+01,3.627306788267503634e-15,1.032456683466255782e+02,2.901845430614002908e-14
3.052500000000000213e+00,8.239667944028954416e-01,-3.423519931343708134e-01,6.167109418468705684e+01,1.293433172073021886e+01,4.713243684228984876e-15,1.034746537658417509e+02,3.770594947383187900e-14
3.055000000000000160e+00,1.044655960598691591e+00,-4.621344830958311611e-01,2.939000884935289548e+01,1.882121897166168267e+01,1.457167719820517959e-16,1.505697517732934614e+02,1.165734175856414367e-15
3.104299999999999837e+00,1.022670236027956481e+00,-4.566667926254088794e-01,3.132878124109480922e+01,1.869629625082865942e+01,4.857225732735059864e-17,1.495703700066292754e+02,3.885780586188047891e-16
3.106799999999999784e+00,8.071142459834763638e-01,-3.525576981075951299e-01,6.449140466033871633e+01,1.295990297606277331e+01,4.952635523913784255e-15,1.036792238085021864e+02,3.962108419131027404e-14
3.152099999999999902e+00,7.927417265886572695e-01,-3.601792616670617120e-01,6.684812554258166983e+01,1.297437007565471490e+01,5.192027363598583634e-15,1.037949606052377192e+02,4.153621890878866907e-14
3.153700000000000170e+00,1.001204959506341474e+00,-4.509581018091484705e-01,3.343625153547274209e+01,1.856960880926330404e+01,4.857225732735059864e-16,1.485568704741064323e+02,3.885780586188047891e-15
3.202999999999999847e+00,9.802510926259393464e-01,-4.450605052051435639e-01,3.566586641543773339e+01,1.844123798882316123e+01,1.457167719820517959e-16,1.475299039105852899e+02,1.165734175856414367e-15
3.206599999999999895e+00,7.751037003376375356e-01,-3.683305981289959341e-01,6.967879179003531931e+01,1.298409713017270306e+01,5.922345946984819420e-15,1.038727770413816245e+02,4.737876757587855536e-14
3.252099999999999991e+00,7.600934811845083683e-01,-3.743388626734457936e-01,7.203615655827930198e+01,1.298627301872697615e+01,5.826936155806095030e-15,1.038901841498158092e+02,4.661548924644876024e-14
3.252400000000000180e+00,9.597950019353304052e-01,-4.390206901313515875e-01,3.796926330917533221e+01,1.831124760931737327e+01,5.204170427930421283e-16,1.464899808745389862e+02,4.163336342344337027e-15
3.301699999999999857e+00,9.398217424442705248e-01,-4.328810067025909425e-01,4.029847069157223416e+01,1.817968433376590909e+01,5.134781488891348999e-16,1.454374746701272727e+02,4.107825191113079200e-15
3.306799999999999962e+00,7.417424625653686876e-01,-3.806617718070688938e-01,7.485863894306882571e+01,1.298228571786064833e+01,7.075937058509396138e-15,1.038582857428851867e+02,5.660749646807516910e-14
3.350999999999999979e+00,9.203172021511751844e-01,-4.266801340801524289e-01,4.260787671914506092e+01,1.804657870738800796e+01,5.967448757360216405e-16,1.443726296591040636e+02,4.773959005888173124e-15
