t,u_probe,v_probe,p_probe,f_x,f_y,c_d,c_l
4.755799999999999805e+00,nan,nan,nan,2.576295123001425824e-01,1.804571871644713641e-04,2.061036098401140659e+00,1.443657497315770913e-03
5.004299999999999748e+00,nan,nan,nan,2.576517139702624859e-01,2.039043486034998313e-04,2.061213711762099887e+00,1.631234788827998650e-03
5.252799999999999692e+00,nan,nan,nan,2.576693055605641103e-01,2.388281446114870487e-04,2.061354444484512882e+00,1.910625156891896390e-03
5.501299999999999635e+00,nan,nan,nan,2.576834189870316760e-01,2.717455444885103172e-04,2.061467351896253408e+00,2.173964355908082537e-03
5.756099999999999994e+00,nan,nan,nan,2.576951412728535340e-01,2.903856289791545593e-04,2.061561130182828272e+00,2.323085031833236475e-03
6.004599999999999937e+00,nan,nan,nan,2.577044944423599881e-01,2.871325284739429935e-04,2.061635955538879905e+00,2.297060227791543948e-03
6.253099999999999881e+00,nan,nan,nan,2.577121902206402915e-01,2.648073623144242181e-04,2.061697521765122332e+00,2.118458898515393745e-03
6.501599999999999824e+00,nan,nan,nan,2.577184989065341436e-01,2.335885517313518629e-04,2.061747991252273149e+00,1.868708413850814903e-03
6.750099999999999767e+00,nan,nan,nan,2.577236146544424344e-01,2.076453372213849934e-04,2.061788917235539476e+00,1.661162697771079947e-03
7.004800000000000360e+00,nan,nan,nan,2.577277844341053781e-01,1.990433241578062949e-04,2.061822275472843025e+00,1.592346593262450359e-03
7.253300000000000303e+00,nan,nan,nan,2.577309580575888326e-01,2.123573144881689997e-04,2.061847664460710661e+00,1.698858515905351998e-03
7.501800000000000246e+00,nan,nan,nan,2.577334112384622733e-01,2.409455461888719400e-04,2.061867289907698186e+00,1.927564369510975520e-03
7.750399999999999956e+00,nan,nan,nan,2.577353153112776352e-01,2.710665835963140522e-04,2.061882522490221081e+00,2.168532668770512418e-03
8.005100000000000549e+00,nan,nan,nan,2.577368629148220069e-01,2.880031888014367245e-04,2.061894903318576056e+00,2.304025510411493796e-03
8.253600000000000492e+00,nan,nan,nan,2.577380989257054833e-01,2.821825710071600287e-04,2.061904791405643866e+00,2.257460568057280230e-03
8.502100000000000435e+00,nan,nan,nan,2.577391291895511638e-01,2.565317431738452724e-04,2.061913033516409310e+00,2.052253945390762179e-03
8.750600000000000378e+00,nan,nan,nan,2.577399716654444894e-01,2.232931258454353958e-04,2.061919773323555916e+00,1.786345006763483166e-03
9.005399999999999849e+00,nan,nan,nan,2.577406325959503142e-01,1.984776808372118754e-04,2.061925060767602513e+00,1.587821446697695003e-03
9.253899999999999793e+00,nan,nan,nan,2.577410725190721341e-01,1.959032734182661209e-04,2.061928580152577073e+00,1.567226187346128967e-03
9.502399999999999736e+00,nan,nan,nan,2.577413278293917975e-01,2.166853547380324224e-04,2.061930622635134380e+00,1.733482837904259380e-03
9.750899999999999679e+00,nan,nan,nan,2.577414530814807758e-01,2.511008507088329997e-04,2.061931624651846207e+00,2.008806805670663997e-03
1.000559999999999938e+01,nan,nan,nan,2.577415298148529876e-01,2.829024426173577193e-04,2.061932238518823901e+00,2.263219540938861754e-03
